Order Number,CustomerID,Item Quantity,Item SKU,Item Subtotal (Inc Disc),Item Discount GBP,Item Gross Total GBP,Item Tax Value GBP,Item Net Total GBP
#0004761,6257,6,GLLT026-BKM-L,91.08,0,91.08,0,91.08
#0002041,332,4,GFCSTP-BK-S,20.54,0,20.54,0,20.54
#0008264,9129,4,GMBG002-L-BK,64,,64,10.67,53.33
#0008500,7389,4,GLUW005-BK-XS,36.83,0,36.83,0,36.83
#0008585,6257,4,GLST003-BKM-L,115.36,,103.83,0,103.83
#0013973,9129,4,GABG002-BK,24,0,24,4,20
#0000268,3910,3,GABG002-BK,22.73,0,22.73,0,22.73
#0002125,8035,3,GMST3256-BK-M,51.45,2.06,49.39,7.88,41.51
#0004397,6290,3,GFETS-CR-S,29.15,0,29.15,4.86,24.29
#0005032,9999,3,GMTK022-BK-L,30.85,0,30.85,0,30.85
#0005729,1774,3,GFETS-BK-M,57.86,0,57.86,0,57.86
#0005899,3773,3,GMSH002-BK/WH-M,28.96,,28.96,0,28.96
#0007185,1728,3,GLLG1826-BK-L,107.94,0,107.94,0,107.94
#0008580,38,3,GMJK006-BK-M,95.46,9.55,85.91,0,85.91
#0008580,38,3,GMJK006-BK-S,95.46,9.55,85.91,0,85.91
#0008955,7813,3,GMTK017-BK-L,36,0,36,6,30
#0009751,1308,3,GLLG1824-BK/CH-S,152.73,0,152.73,30.54,122.19
#0010364,953,3,GLLG025-BK-M,36.07,3.61,32.46,0,32.46
#0013139,4377,3,GABT004-2.2L,24,0,24,4,20
#0000044,1489,2,GMSH020-BK-S,37.14,0,37.14,6.19,30.95
#0000060,2139,2,GLLG043-BK-M,57.56,0,57.56,0,57.56
#0000067,6351,2,GMST009-NV-S,30.68,0,30.68,5.11,25.57
#0000084,2591,2,GMJG021-BK-M,33.99,8.5,25.49,4.24,21.24
#0000144,6256,2,GLLG004-BKM/CH-S,57.8,0,57.8,0,57.8
#0000186,8598,2,GMJG029-AEB-M,68,0,68,11.33,56.67
#0000221,1521,2,GMSH004-BKM/WH-L,52,,49.4,8.23,41.17
#0000293,2056,2,GASCSH-NV/WH-L,32.12,0,32.12,5.58,26.55
#0000293,2056,2,GFSTS-AQ-S,38.55,0,38.55,6.69,31.86
#0000448,4668,2,GLSB036-DT/IB-S,31.98,3.2,28.79,4.6,24.19
#0000456,6970,2,GMST032-SLD-L,36,0,36,6,30
#0000496,2838,2,GMHD015-BK-L,68.26,0,68.26,10.9,57.36
#0000586,1785,2,GMLS004-BK-L,14.33,0,14.33,0,14.33
#0000624,7549,2,GABT004-2.2L,16,0,16,2.67,13.33
#0000662,3783,2,GMJG004-SB-S,68,,68,11.33,56.67
#0000667,4324,2,GMSH024-BK-M,45.73,0,45.73,7.93,37.8
#0000690,3406,2,GLFB-BL/WH-S,49.18,0,49.18,0,49.18
#0000690,3406,2,GLFB-GR/BK-S,49.18,0,49.18,0,49.18
#0000709,2376,2,GABL001-BK-OS,23.13,0,23.13,0,23.13
#0000884,499,2,GMST032-BK-L,34.87,,34.87,0,34.87
#0000936,4379,2,GLLG1828-BK-M,98.96,0,98.96,19.79,79.17
#0000999,5356,2,GLLG1824-BK/CH-S,80,8,72,12,60
#0001093,144,2,GLLG014-BK-M,59.69,0,59.69,9.95,49.74
#0001099,9433,2,GLLG1824-BK/CH-S,76.63,0,76.63,0,76.63
#0001219,5737,2,GFETS-BK-M,45.63,0,45.63,0,45.63
#0001314,5019,2,GMTK3330-BK-M,34.28,0,34.28,5.95,28.33
#0001331,1728,2,GLLG058-CHM/DKT-L,56.03,0,56.03,0,56.03
#0001653,1135,2,GLCT011-BK-M,36.51,0,36.51,0,36.51
#0001740,8955,2,GPT-GP-M,19.98,2,17.98,3,14.98
#0001754,237,2,GMTK031-BK-M,38.62,0,38.62,0,38.62
#0001867,4681,2,GMST3256-BK-XXL,22.94,0,22.94,0,22.94
#0001867,4681,2,GMST3256-CGR-XXL,22.94,0,22.94,0,22.94
#0001888,6844,2,GMUW003-DC/BK-S,24.88,0,24.88,4.32,20.56
#0001983,7739,2,GMST013-BK-S,38.96,,38.96,6.22,32.74
#0002125,8035,2,GMPO3254-BK-M,68.61,2.74,65.87,10.51,55.36
#0002125,8035,2,GMLT3257-BK-M,42.88,1.71,41.17,6.57,34.6
#0002159,1728,2,GLSH006-CH/DPK-L,40.71,0,40.71,0,40.71
#0002216,9290,2,GMTK032-BK-S,13.2,0,13.2,2.2,11
#0002261,8645,2,GLCT007-PW-XS,31.21,3.12,28.09,0,28.09
#0002281,1470,2,GMJG034-BK-M,49.08,0,49.08,0,49.08
#0002293,3743,2,GLCT023-DT/IB-M,60.09,0,60.09,0,60.09
#0002303,1053,2,GLLG082-GL/CP-S,46.21,0,46.21,8.64,37.57
#0002313,7055,2,GMST032-BK-L,32.81,0,32.81,0,32.81
#0002347,8598,2,GMST048-GL-M,80,0,80,13.33,66.67
#0002381,1045,2,GMST049-BK-M,27.39,0,27.39,0,27.39
#0002462,2354,2,GLLG028-BK/CH/BK-M,53.72,0,53.72,0,53.72
#0002505,9018,2,GLLG052-PLL-M,76,0,76,12.67,63.33
#0002511,451,2,GMUW002-GLM/BK-S,19.55,1.14,18.41,2.93,15.48
#0002551,6351,2,GMJG002-SB/WH-S,36,0,36,6,30
#0002624,5217,2,GLUW005-BK-S,16,0,16,2.67,13.33
#0002624,5217,2,GLUW005-DPL-M,16,0,16,2.67,13.33
#0002624,5217,2,GLUW005-DPL-S,16,0,16,2.67,13.33
#0002624,5217,2,GLUW005-PW-S,16,0,16,2.67,13.33
