Order Number,CustomerID,Sales Channel,Order Date,Order Shipping Country,Order Items Gross,Order Shipping Gross GBP,Order Gross Total GBP,Order Net Total GBP,Order Status,Order Shipping Service,Order Discount Code
#0002427,6218,Gymshark SWE Shopify Store,19/11/2018,Sweden,178.52,0,178.52,103.4,Closed,Standard (3-5 Working Days),
#0000628,6222,Gymshark UK Shopify Store,12/10/2016,United Kingdom,32,6,38,31.67,fulfilled,Express Next Day,
#0009013,6222,Gymshark UK Shopify Store,04/01/2017,United Kingdom,16,4,20,16.67,fulfilled,Standard (3-5 Working Days),
#0012990,6222,Gymshark UK Shopify Store,26/05/2017,United Kingdom,32,6,38,31.67,fulfilled,Next Working Day,
#0013994,6222,Gymshark UK Shopify Store,09/11/2018,United Kingdom,40,0,40,33.33,Billed,Standard (2 Working Days),
#0006170,6223,Gymshark USA Shopify Store,24/11/2017,United States,41.84,7.52,49.36,49.36,Billed,Standard (7-14 Working Days),
#0003790,6226,Gymshark EU Shopify Store,23/11/2018,Switzerland,50.06,7.98,58.04,58.04,Billed,Standard (3-5 Working Days),
#0002228,6227,Gymshark UK Shopify Store,14/02/2019,United Kingdom,45,0,45,37.5,Billed,Standard (2 Working Days),
#0005622,6228,Gymshark USA Shopify Store,01/02/2018,United States,35.23,7.05,42.28,42.28,Billed,Standard (7-14 Working Days),
#0004105,6228,Gymshark USA Shopify Store,02/07/2018,United States,69.37,0,69.37,69.37,Billed,Standard (7-14 Working Days),
#0005111,6229,Gymshark USA Shopify Store,17/07/2018,United States,19.65,7.56,27.21,27.21,Billed,Standard (7-14 Working Days),
#0004652,6235,Gymshark UK Shopify Store,30/10/2018,United Kingdom,45,0,45,37.5,Billed,Standard (2 Working Days),
#0012873,6235,Gymshark UK Shopify Store,14/03/2019,United Kingdom,75,0,75,62.5,Billed,Next Working Day,
#0010774,6236,Gymshark USA Shopify Store,23/11/2017,United States,22.81,7.5,30.31,30.31,Billed,Standard (7-14 Working Days),
#0012297,6237,Gymshark UK Shopify Store,27/12/2017,United Kingdom,35,4,39,32.5,Billed,Standard (3-5 Working Days),
#0014240,6238,Gymshark USA Shopify Store,12/03/2019,United States,37.84,3.78,41.62,41.62,Billed,Standard (4-7 Working Days),
