species,beak_length_mm,beak_depth_mm,wing_length_mm,body_mass_g,sex,year
Tufted,40.8,17.6,188.9,3283.0,female,2009
Horned,45.9,15.3,217.2,5537.0,male,2007
Atlantic,39.7,18.9,204.0,3797.5,male,2009
Atlantic,40.5,18.9,181.8,3479.0,female,2007
Atlantic,37.3,19.2,191.9,3528.0,female,2008
Tufted,48.6,19.8,194.9,3724.0,male,2007
Horned,46.8,15.4,224.2,5243.0,male,2007
Horned,41.8,15.5,215.1,4557.0,female,2009
Atlantic,37.1,17.5,201.0,3675.0,female,2009
Atlantic,34.9,17.3,196.9,3258.5,female,2007
Tufted,45.0,16.9,193.9,2646.0,female,2008
Atlantic,37.6,20.0,196.9,4581.5,male,2007
Atlantic,37.9,17.0,179.8,3185.0,female,2007
Tufted,44.3,18.6,179.8,3185.0,female,2007
Atlantic,35.5,17.2,186.8,2940.0,female,2007
Atlantic,34.3,18.4,204.0,3479.0,female,2008
Atlantic,34.8,17.5,188.9,3087.0,female,2009
Atlantic,38.1,19.3,185.8,3479.0,male,2009
Tufted,48.8,19.4,212.1,4018.0,male,2009
Horned,48.8,16.0,228.3,5096.0,male,2009
Tufted,55.7,18.2,182.8,3626.0,female,2007
Tufted,41.8,18.5,204.0,3332.0,female,2009
Atlantic,34.1,16.5,196.9,3283.0,female,2008
Atlantic,33.2,17.5,190.9,3136.0,female,2008
Horned,45.6,15.3,220.2,4851.0,female,2009
Horned,44.8,15.6,221.2,5096.0,male,2007
Tufted,46.2,16.7,201.0,3258.5,female,2009
Tufted,44.8,18.3,196.9,3234.0,female,2007
Atlantic,38.7,18.9,198.0,4263.0,male,2008
Tufted,49.6,20.7,195.9,3699.5,male,2007
Horned,48.0,15.6,222.2,5439.0,male,2007
Horned,43.5,14.0,212.1,4214.0,female,2008
Atlantic,36.1,17.3,186.8,3528.0,female,2008
Horned,47.1,14.8,214.1,4532.5,female,2009
Horned,40.3,13.8,212.1,4067.0,female,2007
Tufted,47.6,18.6,194.9,3699.5,male,2009
Atlantic,34.8,19.9,191.9,3724.0,male,2008
Horned,48.0,16.2,226.2,5243.0,male,2009
Horned,41.8,14.5,222.2,4606.0,female,2008
Atlantic,37.2,19.4,196.9,3381.0,female,2007
Horned,46.5,14.9,215.1,5733.0,male,2007
Atlantic,35.5,16.8,186.8,3332.0,female,2009
Atlantic,36.4,19.0,194.9,2866.5,female,2009
Tufted,44.7,18.2,194.9,3724.0,female,2007
Atlantic,43.8,20.7,192.9,4508.0,male,2009
Horned,43.9,14.2,216.1,4312.0,female,2008
Atlantic,39.8,18.9,203.0,3920.0,male,2009
Horned,43.3,14.7,212.1,4312.0,female,2008
Horned,45.3,14.0,216.1,4826.5,female,2009
Horned,53.7,17.3,230.3,5488.0,male,2009
Atlantic,39.1,17.3,191.9,3650.5,male,2009
Tufted,43.8,19.8,195.9,3454.5,female,2009
Atlantic,39.5,19.4,183.8,3356.5,male,2007
Horned,44.4,14.7,216.1,4557.0,,2008
Atlantic,37.9,18.2,189.9,3234.0,female,2007
Atlantic,34.5,16.9,191.9,2989.0,female,2008
Tufted,48.2,19.2,204.0,3724.0,male,2009
Atlantic,38.7,18.4,196.9,3185.0,female,2007
Horned,44.6,13.8,212.1,4459.0,female,2007
Atlantic,38.6,17.4,194.9,3332.0,female,2009
