InvoiceNo,StockCode,Product,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,alarm clock bakelike pink,24,01-12-2010 08:45,3.75,12583,France
536370,22727,alarm clock bakelike red ,24,01-12-2010 08:45,3.75,12583,France
536370,22726,alarm clock bakelike green,12,01-12-2010 08:45,3.75,12583,France
536370,21724,panda and bunnies sticker sheet,12,01-12-2010 08:45,0.85,12583,France
536370,21883,stars gift tape ,24,01-12-2010 08:45,0.65,12583,France
536370,10002,inflatable political globe ,48,01-12-2010 08:45,0.85,12583,France
536370,21791,vintage heads and tails card game ,24,01-12-2010 08:45,1.25,12583,France
536370,21035,set/2 red retrospot tea towels ,18,01-12-2010 08:45,2.95,12583,France
536370,22326,round snack boxes set of4 woodland ,24,01-12-2010 08:45,2.95,12583,France
536370,22629,spaceboy lunch box ,24,01-12-2010 08:45,1.95,12583,France
536370,22659,lunch box i love london,24,01-12-2010 08:45,1.95,12583,France
536370,22631,circus parade lunch box ,24,01-12-2010 08:45,1.95,12583,France
536370,22661,charlotte bag dolly girl design,20,01-12-2010 08:45,0.85,12583,France
536370,21731,red toadstool led night light,24,01-12-2010 08:45,1.65,12583,France
536370,22900, set 2 tea towels i love london ,24,01-12-2010 08:45,2.95,12583,France
536370,21913,vintage seaside jigsaw puzzles,12,01-12-2010 08:45,3.75,12583,France
536370,22540,mini jigsaw circus parade ,24,01-12-2010 08:45,0.42,12583,France
536370,22544,mini jigsaw spaceboy,24,01-12-2010 08:45,0.42,12583,France
536370,22492,mini paint set vintage ,36,01-12-2010 08:45,0.65,12583,France
536370,POST,postage,3,01-12-2010 08:45,18,12583,France
536389,22941,christmas lights 10 reindeer,6,01-12-2010 10:03,8.5,12431,Australia
536389,21622,vintage union jack cushion cover,8,01-12-2010 10:03,4.95,12431,Australia
536389,21791,vintage heads and tails card game ,12,01-12-2010 10:03,1.25,12431,Australia
536389,35004C,set of 3 coloured  flying ducks,6,01-12-2010 10:03,5.45,12431,Australia
536389,35004G,set of 3 gold flying ducks,4,01-12-2010 10:03,6.35,12431,Australia
536389,85014B,red retrospot umbrella,6,01-12-2010 10:03,5.95,12431,Australia
536389,85014A,black/blue polkadot umbrella,3,01-12-2010 10:03,5.95,12431,Australia
536389,22193,red diner wall clock,2,01-12-2010 10:03,8.5,12431,Australia
536389,22726,alarm clock bakelike green,4,01-12-2010 10:03,3.75,12431,Australia
536389,22727,alarm clock bakelike red ,4,01-12-2010 10:03,3.75,12431,Australia
536389,22192,blue diner wall clock,2,01-12-2010 10:03,8.5,12431,Australia
536389,22191,ivory diner wall clock,2,01-12-2010 10:03,8.5,12431,Australia
536389,22195,large heart measuring spoons,24,01-12-2010 10:03,1.65,12431,Australia
536389,22196,small heart measuring spoons,24,01-12-2010 10:03,0.85,12431,Australia
536403,22867,hand warmer bird design,96,01-12-2010 11:27,1.85,12791,Netherlands
536403,POST,postage,1,01-12-2010 11:27,15,12791,Netherlands
536527,22809,set of 6 t-lights santa,6,01-12-2010 13:04,2.95,12662,Germany
536527,84347,rotating silver angels t-light hldr,6,01-12-2010 13:04,2.55,12662,Germany
536527,84945,multi colour silver t-light holder,12,01-12-2010 13:04,0.85,12662,Germany
536527,22242,5 hook hanger magic toadstool,12,01-12-2010 13:04,1.65,12662,Germany
536527,22244,3 hook hanger magic garden,12,01-12-2010 13:04,1.95,12662,Germany
536527,22243,5 hook hanger red magic toadstool,12,01-12-2010 13:04,1.65,12662,Germany
536527,47421,assorted colour lizard suction hook,24,01-12-2010 13:04,0.42,12662,Germany
536527,20712,jumbo bag woodland animals,10,01-12-2010 13:04,1.95,12662,Germany
536527,20713,jumbo bag owls,10,01-12-2010 13:04,1.95,12662,Germany
536527,22837,hot water bottle babushka ,4,01-12-2010 13:04,4.65,12662,Germany
536527,22969,homemade jam scented candles,12,01-12-2010 13:04,1.45,12662,Germany
536527,22973,children's circus parade mug,12,01-12-2010 13:04,1.65,12662,Germany
536527,84569B,pack 3 fire engine/car patches,12,01-12-2010 13:04,1.25,12662,Germany
536527,22549,picture dominoes,12,01-12-2010 13:04,1.45,12662,Germany
536527,POST,postage,1,01-12-2010 13:04,18,12662,Germany
536532,84692,box of 24 cocktail parasols,50,01-12-2010 13:24,0.42,12433,Norway
536532,22444,grow your own plant in a can ,96,01-12-2010 13:24,1.06,12433,Norway
536532,22899,children's apron dolly girl ,8,01-12-2010 13:24,2.1,12433,Norway
536532,21156,retrospot childrens apron,8,01-12-2010 13:24,1.95,12433,Norway
536532,22556,plasters in tin circus parade ,24,01-12-2010 13:24,1.65,12433,Norway
536532,22555,plasters in tin strongman,36,01-12-2010 13:24,1.65,12433,Norway
536532,22554,plasters in tin woodland animals,24,01-12-2010 13:24,1.65,12433,Norway
536532,22553,plasters in tin skulls,24,01-12-2010 13:24,1.65,12433,Norway
536532,22551,plasters in tin spaceboy,24,01-12-2010 13:24,1.65,12433,Norway
536532,22547,mini jigsaw dinosaur ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22544,mini jigsaw spaceboy,24,01-12-2010 13:24,0.42,12433,Norway
536532,22543,mini jigsaw bake a cake ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22540,mini jigsaw circus parade ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22539,mini jigsaw dolly girl,24,01-12-2010 13:24,0.42,12433,Norway
536532,22534,magic drawing slate spaceboy ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22530,magic drawing slate dolly girl ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22531,magic drawing slate circus parade  ,24,01-12-2010 13:24,0.42,12433,Norway
536532,22561,wooden school colouring set,24,01-12-2010 13:24,1.65,12433,Norway
536532,22489,pack of 12 traditional crayons,24,01-12-2010 13:24,0.42,12433,Norway
536532,22814,card party games ,12,01-12-2010 13:24,0.42,12433,Norway
536532,21520,booze & women greeting card ,12,01-12-2010 13:24,0.42,12433,Norway
536532,21506,"fancy font birthday card, ",12,01-12-2010 13:24,0.42,12433,Norway
536532,22716,card circus parade,12,01-12-2010 13:24,0.42,12433,Norway
536532,22866,hand warmer scotty dog design,12,01-12-2010 13:24,2.1,12433,Norway
536532,22632,hand warmer red retrospot,12,01-12-2010 13:24,2.1,12433,Norway
536532,22865,hand warmer owl design,12,01-12-2010 13:24,2.1,12433,Norway
536532,22114,hot water bottle tea and sympathy,8,01-12-2010 13:24,3.95,12433,Norway
536532,21982,pack of 12 suki tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21981,pack of 12 woodland tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21967,pack of 12 skull tissues,48,01-12-2010 13:24,0.29,12433,Norway
536532,22092,blue paisley tissue box,12,01-12-2010 13:24,1.25,12433,Norway
536532,21983,pack of 12 blue paisley tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22615,pack of 12 circus parade tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,21980,pack of 12 red retrospot tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22614,pack of 12 spaceboy tissues,48,01-12-2010 13:24,0.29,12433,Norway
536532,22095,lads only tissue box,12,01-12-2010 13:24,1.25,12433,Norway
536532,22094,red retrospot tissue box,12,01-12-2010 13:24,1.25,12433,Norway
536532,21984,pack of 12 pink paisley tissues ,48,01-12-2010 13:24,0.29,12433,Norway
536532,22557,plasters in tin vintage paisley ,36,01-12-2010 13:24,1.65,12433,Norway
536532,21786,polkadot rain hat ,24,01-12-2010 13:24,0.42,12433,Norway
536532,21080,set/20 red retrospot paper napkins ,36,01-12-2010 13:24,0.85,12433,Norway
536532,22963,jam jar with green lid,12,01-12-2010 13:24,0.85,12433,Norway
536532,22962,jam jar with pink lid,12,01-12-2010 13:24,0.85,12433,Norway
536532,22961,jam making set printed,24,01-12-2010 13:24,1.45,12433,Norway
536532,84375,set of 20 kids cookie cutters,24,01-12-2010 13:24,2.1,12433,Norway
536532,22966,gingerbread man cookie cutter,24,01-12-2010 13:24,1.25,12433,Norway
536532,21874,gin and tonic mug,24,01-12-2010 13:24,1.25,12433,Norway
536532,21873,if you can't stand the heat mug,24,01-12-2010 13:24,1.25,12433,Norway
536532,21870,i can only please one person mug,24,01-12-2010 13:24,1.25,12433,Norway
536532,22956,36 foil heart cake cases,12,01-12-2010 13:24,2.1,12433,Norway
536532,84050,pink heart shape egg frying pan,72,01-12-2010 13:24,1.25,12433,Norway
536532,84991,60 teatime fairy cake cases,24,01-12-2010 13:24,0.55,12433,Norway
536532,84992,72 sweetheart fairy cake cases,24,01-12-2010 13:24,0.55,12433,Norway
536532,21213,pack of 72 skull cake cases,24,01-12-2010 13:24,0.55,12433,Norway
536532,21977,pack of 60 pink paisley cake cases,24,01-12-2010 13:24,0.55,12433,Norway
536532,21212,pack of 72 retrospot cake cases,24,01-12-2010 13:24,0.55,12433,Norway
536532,22198,large popcorn holder ,48,01-12-2010 13:24,1.65,12433,Norway
536532,22197,small popcorn holder,72,01-12-2010 13:24,0.85,12433,Norway
536532,22315,200 red + white bendy straws,12,01-12-2010 13:24,1.25,12433,Norway
536532,22667,recipe box retrospot ,12,01-12-2010 13:24,2.95,12433,Norway
536532,22666,recipe box pantry yellow design,12,01-12-2010 13:24,2.95,12433,Norway
536532,22665,recipe box blue sketchbook design,12,01-12-2010 13:24,2.95,12433,Norway
536532,22558,clothes pegs retrospot pack 24 ,24,01-12-2010 13:24,1.49,12433,Norway
536532,22567,20 dolly pegs retrospot,24,01-12-2010 13:24,1.25,12433,Norway
536532,85150,ladies & gentlemen metal sign,12,01-12-2010 13:24,2.55,12433,Norway
536532,21166,cook with wine metal sign ,12,01-12-2010 13:24,1.95,12433,Norway
536532,85152,hand over the chocolate   sign ,24,01-12-2010 13:24,2.1,12433,Norway
536532,82600,no singing metal sign,24,01-12-2010 13:24,2.1,12433,Norway
536532,21733,red hanging heart t-light holder,6,01-12-2010 13:24,2.95,12433,Norway
536532,20685,doormat red retrospot,2,01-12-2010 13:24,7.95,12433,Norway
536532,22842,biscuit tin vintage red,6,01-12-2010 13:24,6.75,12433,Norway
536532,22494,emergency first aid tin ,24,01-12-2010 13:24,1.25,12433,Norway
536532,21260,first aid tin,12,01-12-2010 13:24,3.25,12433,Norway
536540,22968,rose cottage keepsake box ,4,01-12-2010 14:05,9.95,14911,EIRE
536540,85071A,blue charlie+lola personal doorsign,6,01-12-2010 14:05,2.95,14911,EIRE
536540,85071C,"charlie+lola""extremely busy"" sign",6,01-12-2010 14:05,2.55,14911,EIRE
536540,22355,charlotte bag suki design,50,01-12-2010 14:05,0.85,14911,EIRE
536540,21579,lolita  design  cotton tote bag,6,01-12-2010 14:05,2.25,14911,EIRE
536540,21576,lets go shopping cotton tote bag,6,01-12-2010 14:05,2.25,14911,EIRE
536540,22147,feltcraft butterfly hearts,12,01-12-2010 14:05,1.45,14911,EIRE
536540,22150,3 stripey mice feltcraft,12,01-12-2010 14:05,1.95,14911,EIRE
536540,22492,mini paint set vintage ,36,01-12-2010 14:05,0.65,14911,EIRE
536540,22493,paint your own canvas set,24,01-12-2010 14:05,1.65,14911,EIRE
536540,21833,camouflage led torch,12,01-12-2010 14:05,1.69,14911,EIRE
536540,85135B,blue dragonfly helicopter,2,01-12-2010 14:05,7.95,14911,EIRE
536540,85136A,yellow shark helicopter,2,01-12-2010 14:05,7.95,14911,EIRE
536540,85136C,red shark helicopter,2,01-12-2010 14:05,7.95,14911,EIRE
536540,21055,tool box soft toy ,4,01-12-2010 14:05,8.95,14911,EIRE
536540,21056,doctor's bag soft toy,4,01-12-2010 14:05,8.95,14911,EIRE
536540,21889,wooden box of dominoes,24,01-12-2010 14:05,1.25,14911,EIRE
536540,21891,traditional wooden skipping rope,12,01-12-2010 14:05,1.25,14911,EIRE
536540,22622,box of vintage alphabet blocks,6,01-12-2010 14:05,9.95,14911,EIRE
536540,C2,carriage,1,01-12-2010 14:05,50,14911,EIRE
536541,21915,red  harmonica in box ,12,01-12-2010 14:05,1.25,14911,EIRE
C536548,22244,,-4,01-12-2010 14:33,1.95,12472,Germany
C536548,22242,,-5,01-12-2010 14:33,1.65,12472,Germany
C536548,20914,,-1,01-12-2010 14:33,2.95,12472,Germany
C536548,22892,,-7,01-12-2010 14:33,1.25,12472,Germany
C536548,22654,,-1,01-12-2010 14:33,5.95,12472,Germany
C536548,22767,,-2,01-12-2010 14:33,9.95,12472,Germany
C536548,22333,,-1,01-12-2010 14:33,1.65,12472,Germany
C536548,22245,,-2,01-12-2010 14:33,0.85,12472,Germany
C536548,22077,,-6,01-12-2010 14:33,1.65,12472,Germany
C536548,22631,,-1,01-12-2010 14:33,1.95,12472,Germany
C536548,22168,,-2,01-12-2010 14:33,8.5,12472,Germany
C536548,21218,,-3,01-12-2010 14:33,3.75,12472,Germany
C536548,20957,,-1,01-12-2010 14:33,1.45,12472,Germany
C536548,22580,,-4,01-12-2010 14:33,5.95,12472,Germany
C536622,22752,,-2,02-12-2010 10:37,8.5,12471,Germany
536803,22113,,6,02-12-2010 16:33,3.75,14911,EIRE
C536817,22187,,-1,02-12-2010 17:08,4.25,14156,EIRE
